,user_name,topic_ID,post_text
0,dg,6,"Hi there,I found out I had Candida after insane itching at night and on my bottom. My diet has been high in carbs and sugar for the last 6 months (+ stress), which definitely put me over the edge. I started the diet 2 or so weeks ago, just started antifungals and probiotics. My die-off symptoms (if they are die-off symptoms) are insane. I am completely up and down with my moods, to the point where it’s affecting my relationship with my mom whom I’m currently living with. I start a new job and MOVE in 2 weeks and will be going on international trips shortly thereafter. I literally cannot function and I need to be able to to live my life. I’m in bed, constantly, because I’m so weak. My stomach is making all kinds of weird sounds and I am craving carbs and a not-so-regimented diet. This is making me incredibly depressed, and I already struggle with depression as it is. When will this stop and when will it go away and how can I make these symptoms lessen? Is there anything I can do?Sorry for the intense message but I literally don’t know where to go about this. Any and all help and support would be so appreciated.d"
1,Wiley200,6,"The anal itching is likely from digestive problems. Buy some anti-itch cream to reduce the symptoms, or try coconut oil at night.You should avoid anything that will irritate your stomach/gut in the short term. That means cutting down on coffee, spicy food, etc.Reduce your use of probiotics and antifungals for a while. Focus on the diet instead and allow yourself to get used to that first. You’re meant to introduce those (and the diet) using a staggered approach to avoid irritating your liver and GI tract. Sounds like you’ve done too much too fast!!"
2,dg,6,"The anal itching has stopped since starting the diet, so we’re good there.I’ve cut down on coffee from literally 4 cups to 1. That’s hard enough – I can’t cut out anymore based on my lifestyle at this point.Why would I use a staggered approach if I just want it out of me? And if I do, does that mean I can still eat some carbs and some sugars alongside the diet and just reduce them gradually? I’ve literally cut them out completely and my body is clearly not reacting well. It is in complete shock and my brain is completely out of wack. I don’t know what to do."
3,user5511,6,"You say you will start in the job just 2 weeks from now? So while you can stay at home before starting there, I would advise to make a cold-turkey fasting. Make your last meal the dinner, and after waking up in the next day you start your fasting. It’s much easier to do it this way since the many hours you don’t eat while you’re asleep will reduce the cravings for food significantly. Up to 3rd day it will be tough the cravings, resist it. Day 3 onwards much easier. When I fasted, I consumed coffee normally, and also good since a cup of coffee consists of more than 90% water, it will not affect your progress, just be careful with the amount of sugar you drink with it. Fasting is the only measure that will allow for the quickest results. Sleep a lot, sex, netflix, whatever keeps your head from thinking on food Lol"
4,JoeR,6,"I recommend you fully cut caffiene, my candida come back at alarming rate when i took a coffee at my first recover and my symptoms going worse."
5,Vita,6,"Up your vit c dose. That got rid of my die off symptoms completely. Granted I took a very high dose of vit c and continued to do it for a month while killing the candida. You can check my story on how I got rid of my candida on the forum.Also take something to alkalize your body. A greens powder like chlorella or some other mix. The more alkaline you are the more shimmy room you have for cheat days and really stressful days. They won’t hit you as hard and you won’t have as big of a flare up if any.Instead of fasting switch to smoothies.Grab a plant based protein and add fruits low in sweetness (Like 1/2 a banana ). In the beginning due to my lifestyle I would simply have a smoothie for breakfast and lunch and a meal for dinner. The liquid diet not only supplies you with nutrients, keeps you full, but also gives you strength to still function. It lessens the burden on your digestive system. If you can juice too, I just didn’t have that much time for it.Make sure you get a good liver supplement to. Whether it’s glutathion or even milk thistle, it will give you a huge boost. You can customize your smoothies to give you the energy you need with minimal digestion problems. I’d often add some adaptogens like ashwaghanda for an added boost."
6,Fawzi,6,"I have read many articles about medical marijuana and how it can help you in terms of chronic pain, bone injuries, eating disorder/anorexia, anxiety disorders and panic attacks, inflammation, even cancer and a lot more. Like this article about a marijuana strain from [LINK REMOVED] . Cbd and thc are also new to me and I don’t even smoke. If this is true I cant find any solid conclusive evidence that speaks to its efficacy."
7,jackieAdamo,6,"I am The same. Vaginal yeast infections, random Rasheed, super dry eyes and throat and now ringing In one ear. Sucks cause I’m allergic to diflucan. I feel so desperate"
0,Vegan Catlady,7,I wanted to start a thread for those who have found relief and are near their cure- What five things would you tell a new person to the forum that is overwhelmed with the info and would like advice based on your successes and mistakes?
1,Tdog333,7,"1. Diet won’t cure you, find the underlying cause and fix it. Candida is a opportunistic microbe, it wont go crazy unless something goes wrong in your body. 2. Don’t cut out sugar or carbs, but don’t overdo sugar. Cutting out carbs may help for a couple of months, but once candida adapts to fats it will become impossible to kill it while in ketosis. The trick is to cut back on foods that are toxic or create a heavier burden on your body, while still providing adequate nutrition. 3. Don’t believe everything someone else on the internet says, do your own research to confirm what they say is true. Don’t believe anyone who tells you that they cured themselves only by taking one miracle anti-fungal, they want your money. 4. The most common underlying cause of chronic candida is a suppressed immune system. Some causes are mercury and heavy metals, methylation(genetic) issues, accutane and ongoing abx usage, crippled gut flora, hypochlorhydria, and some others I’m forgetting and will add later. 5. Get the proper testing, a stool test is good but you need more than that. Get a 23andme test, organic acids test, nutreval(if you have the money), and other important tests. Candida testing is really hit or miss so don’t put your faith in the results."
2,Vegan Catlady,7,"1. You dont have to have a major life-threatening disease to get candida overgrowth…anywhere. I have it in my throat/esophagus. I was told over and over that only people with HIV and Hepatitis get that. That is not true. 2. Experiment with supplements and antifungals, but the biggest thing to make candida go away faster is stress-reduction and adrenal support. They go hand-in-hand. Wish I started that earlier. 3. There isnt only one way to do this. There are many. I eat fruit, I omit all dairy/meat/eggs for almost 3 years and have no deficiencies or health problems related to my diet. I have blood-tests twice a year every year just because I enjoy showing my worried relatives, but even my B-12 is better than most. No one gets undernourished eating only veggies and fruit. Otherwise, Id me near dead by now. 4. Using kits and taking pills may feel pro-active, but it is possible to handle candida overgrowth without them. They may be well-tolerated and have good reviews, but if they were absolutely critical to recovery, no one would be on the forum and traditional MDs would get-in on the cash-flow. We would all be cured. 5. Do your own research. Lots of it. When someone tells you that one way is the right way, google opposing views. Look at it from all angles. People (including a few doctors)are very well-meaning, but your health is your responsibility. Question even the doctors."
3,EasternRay,7,"I see a lot of people confused by the contradicting information and theories on Candida treatments. I think that’s the number one problem. If you agree, give me a comment.Interesting views on this thread.But, if I could ask a Candida newbie or a person who has been struggling with different approaches for a while with little results (or none, or even worse results!), I would ask this:What is the No.1 thing that will take you from your situation to where you want to be? What will help you the most?I’d appreciate feedback on this. Thanks."
4,raster,7,"EasternRay wrote:I see a lot of people confused by the contradicting information and theories on Candida treatments. I think that’s the number one problem. If you agree, give me a comment.Interesting views on this thread.But, if I could ask a Candida newbie or a person who has been struggling with different approaches for a while with little results (or none, or even worse results!), I would ask this:What is the No.1 thing that will take you from your situation to where you want to be? What will help you the most?I’d appreciate feedback on this. Thanks.Thanks Ray for your thoughts. I say that the #1 thing I personally need is plenty of solid sleep, such as 8-9 hours per day. You heal so much faster with better sleep but most of us work full time. The second for me would be money. If I had more money I would get more testing done and learn more intricate details about my body and address those as well.-raster"
5,EasternRay,7,"Yes, Raster, sleep is essential for healing any illness. And money are also necessary. Regarding the information or methods/approaches to healing candida, would you be needing something to help you heal faster?"
6,raster,7,"EasternRay wrote:Yes, Raster, sleep is essential for healing any illness. And money are also necessary. Regarding the information or methods/approaches to healing candida, would you be needing something to help you heal faster?I’m about 5 years into this and go to a good naturopath and am mostly over this as being a major problem. I think other people could use more help but I’m pretty set on what I am going to do to get better. Another thing I recommend to others is to not treat themselves and consult a professional; you’ll typically get better faster if you do it this way.-raster"
7,gringa perdida,7,"I’m about 5 years into this and go to a good naturopath and am mostly over this as being a major problem. I think other people could use more help but I’m pretty set on what I am going to do to get better. Another thing I recommend to others is to not treat themselves and consult a professional; you’ll typically get better faster if you do it this way.raster, you are 5 years into killing candida? how much time is it supposed to take?"
8,laurenziano,7,#1 yeast is the #1 source of Candida yeast infection -Candida yeast infection means exactly that yeast is the infection. Same as vaginal yeast infection is the yeast. I can’t. Eat yeast bread – yeast pizza-yeast submarine sandwiches anymore the yeast makes me vomit. I used to love that stuff. DIAHRREA 15 times a day made me stop yeast for good. Stopped yeast and diahrrea never came back for months. I got yeast overgrowth because I drank lots of tonic water with quinine. I got quinine poisoning. Quinine is used in south America to kill rats same as arsenic. Quinine explodes your blood vessels and ruins your immune system and yeast comes charging taking over your body. The post here about poison metals breaking down your immune system is right on. He knows what he’s. Talking about. Good advice. Hard to find good advice. Stop yeast it’s the cause of every disease on earth”DO NOT EAT LEAVENED BREAD FROM THE ONE WHO CREATED BREAD.
9,laurenziano,7,You need to find someone who specializes in yeast overgrowth cures. Physicians don’t have the high powered microscopes to detect yeast infections. Blood tests don’t. Show yeast infections. They say you don’t have a yeast infection and send you home. Trouble is yeast is making you sick. Until you take a yeast test you will never find what’s wrong with you. 1.7 billion people they say have yeast infections in the world. What do they all have in common-they all eat yeast bread every day.
10,ibeatthebeast,7,"Please listen to what I have to say. I completely understand how you feel as I was plagued by systemic candida for over 4 years. I was finally able to fully heal myself once I followed Traditional Chinese Medicine and the practice of curing a damp gut. One thing you must understand is that to treat the root cause of the infection means healing the internal organs (specifically the spleen, kidneys, and liver). You need to avoid ALL damp-forming foods including all forms of dairy, all sugar/honey/artificial sweeteners, give up all caffeine, and eat plenty of warm, drying foods including sweet potatoes, azuki beans, barley, celery, ginger, turmeric, cumin, cayenne pepper, apple cider vinegar, etc. These should be the staples of your diet. Try it, you will see amazing results."
11,RiversTrini,7,"1. Have someone to talk to and discuss everything with this person. For me, it was my sister. When it was bad I moved in with my sister for 2 months. She took care of me. I worked but she dropped me off and cooked for me – only veggies and a very strict diet for 90 days. This helps in the long run.2. Read Read and Read.3. Get to know your body. Document ALL your symptoms. For me it was over 20. Toe fungus, stomach, itching, mouth, tongue, burning sensation on chest at night, rapid heart beat, memory loss, mix up words/letters, etc.4. Know this is NOT an easy fix. I am in my 15 month of healing. I have done it all. Diet, exercise, reduce stress, rest, lifestyle changes including no alcohol for 18 months. I was a casual drinker. Don’t say you want to return “back to your old self”. Your “old self” was NOT healthy. You need to get to a NEW you and you Will.5. Develop PATIENCE. Do not try to recovery rapidly. Stay consistent with your foods – introduce new foods SLOWLY. I can eat pretty much anything now BUT I still watch and manage my Sugar intake, caffeine etc. Do it because you love yourself."
12,Vita,7,"Hello! I’m a holistic nutritionist that had systemic candida and now takes care of people that do. Here are my top 5 tips for newbies.1. CANDIDA DIET. You can forget about killing it if you’re not an anti-inflammatory diet. Yes it will be strict and some may be on stricter ones but it’s the very foundation of a candida cleanse. You’re literally throwing your money down the drain on supplements if you’re feeding the yeast that you’re trying to kill.2. PREPARE PROPERLY. Don’t jump into an antifungal straight away unless you hate yourself. Your entire system is down/suppressed when you have systemic candida. Using a strong antifungal is the equivalent of suicide. You will be causing more damage than good. Therefore look for extemely gentle detoxification kits to start off first and build yourself up.3. PROFESSIONAL HELP/RESEARCH. Honestly it’s quite difficult to overcome this without guidance. I was lucky I had my teachers at school. This forum has a wealth of knowledge as well. Granted what works for one person may not work for someone else. Moreover some professionals don’t quite know what they are talking about. I’ve had naturopaths tell me the candida diet is bs and I couldn’t believe my ears. Evidently they’ve had no experience with severe cases. If you go seek medical advice make sure they have the experience in it and don’t just know by “the textbook” how to cure it.4. LIVER SUPPORT. When you’re in the killing phase make sure you have a high quality liver support. Everything goes through the liver including the candida die off. Unless you want to have liver problems after your candida cleanse this is a must. Dont just do milk thistle, get a complex with good reviews, go to the store and ask for the best seller or just get some glutathione. Trust me I didn’t pay enough attention to my liver during my cleanse and now am stuck cleaning it months later.5. STRESS. Any STRESS you put on your body will weaken and provide more opportunities for candida to grow. Stress can be in the shape of a cleaner diet (yes that causes stress for you’re automatically starting a detox), strong detox supplements or highdosing specific ones, lack of sleep, and stress you experience emotionally and mentally. Sleep well, do deep breathing, take an adrenal support etc. There are many ways to go about this.Hope this helped!"
0,Janek,8," This statement is all from my personal experience, I’m not stating science or solid facts so please do your own research before deciding whether doing this treatment is for you. All my information about drinking baking soda I obtained was from the internet and decided to try it as I felt I was out of options. If you dont feel comfortable or have any issues drinking baking soda please dont do it. Please look at some of the comments underneath which give more fact on baking soda and the acid/alkalinity of the body. I think this treatment would still have worked but just took longer without it. The whole thing for me which i think gets rid of candida is getting it down to a really low level then doing a liver flush and then getting the healthy bacteria to high levels and keep your candida permanently under control. This is infact all my opinion but it worked for me. "
1,Rabelais,8,"  I’m confused… You are basically stating that it’s good to reduce acidity when fighting candida. Yet, today, Gizmo testified that he destroyed his candida by increasing acidity… It’s really confusing… Rabelais  "
2,TheXtremisT,8,"This is interesting, but not the be-all-end-all cure. You may feel better, and think you’re cured, but so many others have reported the same and had their symptoms and candida rage back because they had other complications. Just be warned. Like Rabelais I noticed you saying stuff about acidity and alkalinity. Now you need your intestinal tract to be acidic, not alkaline, in order to kill candida and other bad microorganisms. Candida thrives in alkaline environments, hence why it produces ammonia and damages the GI tract. This needs to be fully understood before you tell people things like this that aren’t true. By taking baking soda, you’re reducing your stomach acid which will negatively affect people (like me, and others with gut dysbiosis and hypothyroidism) with low stomach acid. In fact, this treatment over 2 weeks, with all the antifungals and probiotics and getting over die-off sounds way too farfetched. You may be telling the truth, but it disagrees with like everyone on here’s personal experience. Especially with ‘severe candidiasis’ as you claim. You factor in other complications that many of us suffer from, and it won’t work for everyone. There is no one plan for each sufferer."
3,Janek,8,"From what i know most bodies are too acidic due to bad lifestyle, foods, alcohol etc and you need to get your body a more balanced pH. Also bile is highly alkaline and this kills of the candida and keeps it at bay so i would say alkaline is better. Things like coffee and alcohol and all bad refined foods are acidic and they are all terrible for candida. Disease flourishes in an acidic body. I’m only telling you what I’ve found out myself online and what works for me, I’m not stating solid facts 🙂"
4,Janek,8,Hi TheXtremisT I’m not saying people have to do what i say i just want people to know what worked for me and to give people a chance. I 100% cured myself in two weeks doing what i said and i am so happier now compared to how I’ve ever been. I was unsure about the baking soda thing myself and have read on this site about it and on the net and all i know is after i drink it i feel a huge relief from the candida and i could just feel that it was working. If your not happy taking baking soda don’t. I’m sure what I’ve written can help someone out there and that’s why i wrote it 🙂 I only got die off the first say four days which was from the diet alone. That’s why i used the coffee enemas which really reduced it.
5,TheXtremisT,8,"I am highly sceptical that you ‘cured’ yourself in 2 weeks since you say you have gad a severe case for 10 years. The reason being is because it disagrees with everything that has been said on this forum as well as curezone. It’s great that you’re feeling better, have no more symptoms as you say, but I’d be careful with beer and other foods because it is highly likely it can all come raging back. In fact it is impossible to heal in 2 weeks all the organs you have mentioned. I cannot state this enough. If you suffer for such an amount of time, you would expect a proportionate amount of time to cure yourself. Maybe there are things you haven’t mentioned, or you weren’t as severe as you thought, but the way you have described your case sounds improbable. I’m not saying this to scare you, or argue, it just contradicts everything we’ve learnt about healing and curing. Just to let you know, being acidic and having acidic digestive tract are 2 completely different things.  Your blood should be just about 7.15 on the pH scale. Under that, you are deemed “acidic”. Your digestive tract is exempt from this, and SHOULD be slightly acidic to digest food and kill pathogens. Bile is slightly alkaline, yes, but what do you think happens when it mixes with stomach acid? Hydrochloric acid from your stomach is pH 1.5-3.5, and bile is pH 7. When these mix and reach the duodenum, the juices become pH 5, still acidic. This is completely normal. In fact, where bile meets the digestive tract, it is in no contact with any candida, so it doesn’t kill it. Bile is not highly alkaline like you claim. Candida is found lining the lower small intestine and the cecum in the large intestine. By there, the digestive juices are getting neutralised.  If you take baking soda, you’re reducing the natural acidity of the intestines, interefering with digestion and the capacity for killing microorganisms. For a normal person it isn’t an issue, but for those with low stomach acid and hypothyroidism like a large majority of candida sufferers, it is not recommended. There’s the science behind my statement. People confuse the 2 all the time, but this should give an indication of how important acidity is in the GI tract, and that it isn’t the same as being acidic in the whole of the body."
6,Janek,8,"Okay I completely understand what your saying I just found the baking soda speeded the whole healing process up for me. I dont want to spread confusion or state facts I only wanted to help with what I found worked to eliminate candida for me and my body to begin healing properly. If someone had given me this advice over ten years ago it could of saved me going through living hell most of my adult life….I was close to suicide and had serious mental health issues all from this awful disease. Anyway I dont want to cause any confusion and I totally agree with your points. Will look to edit my post and make it clearer for people to understand what I mean. I understand that candida may return so I need to continue to work at getting my whole body in balance, strengthening my immune system and staying stress free."
7,Rabelais,8," Janek;60519 wrote: From what i know most bodies are too acidic I was simply baffled when I saw two contradicting views appear on this forum almost simultaneously. One view advised to increase acidity, while the other view advised to decrease acidity. The proponents of each of these views backed their advice by personal experience. I found this contradiction worth pointing out. I have no opinion of myself. That’s because I know that a healthy body regulates its own acidity. Therefore, it is not possible to change the acidity of the blood, the organs, or any other tissues. It’s even not possible to speak of “the acidity” of a tissue. That’s because inter-cellular fluids and intra-cellular fluids all have their own specific acidity level. Acidity level even varies from one cell type to another. Given that it’s impossible to speak of “the acidity” of a tissue, it’s even more impossible to speak of “the acidity” of the body. Rabelais  "
8,EasternRay,8,"Our body can either be acidic or alkaline. And that can be measured, for example using urine. This is a good indicator. For a body to be healthy or to cure it needs to be alkaline. So, what Janek says makes sense. A big piece in curing candida, I believe, is the alkalinity."
9,Rall,8,"Hi Janek,Congrats on beating candida! I’ve been on the diet/probiotics/antifungals for about a month now and I finally started to notice some progress. Last week I was super constipated so I decided to get a single-use enema. Anyway it worked super well and I ended up passing tons of dead candida! So I decided to order an enema kit from amazon so I can perform these regularly, I definitely don’t want that dead stuff rotting inside of me.Do you think it’s necessary to do coffee enemas every single day? Would you actually see candida come out every time you did one before you beat the candida? And would you mind sharing with me what antifungals you used?Currently I am taking garlic pills and 3 tbsp of coconut oil every day along with 50 billion probiotic. The main symptom I am trying to resolve is a skin condition, so I was just wondering if you had any skin conditions prior to beating candida and whether they are cleared up now. Thanks!"
10,marjan,8,"Hi Thank you for you informative topic. It was really encouraging and hopeful. I know you write this a long time ago. I have 2 weeks holiday and I want to follow your diet. Could you tell me what you exactly eat during that time? You mentioned porridge, I was Paleo before and I quit oats but since I started candida and I do not eat buckwheat and oats I am starving. I’ve bought gluten free oats bran and I am soaking it. I eat broccoli, cauliflower, Swiss chard, spinach, cabbage and celery a lot but I still feel hungry. I used to eat rice everyday and it was so filling and eliminating it from my diet is very difficult and I used to lots of bananas but I could say that my diet was healthy. I bought 3 kinds of anti fungal as you told. I bought grapefruit extract, oregano and capilic acid. I suffer from dramatist, coated tongue, tiredness, horrible digestion and very temporary memory. I am 30 years old. Do you have any suggestion for me?"
11,laurenziano,8,CANDIDA DOES NOT GO AWAY IN TWO WEEKS. IT TAKES YEARS OF EATING TOO MUCH BREADED YEAST AND DRINKING BREWERS YEAST BEER TO GET RID OF IT IN TWO WEEKS. YOUR CANDIDA IS HIDING WAITING TO RE EMERGE. CANDIDA TAKES OVER THE WHOLE BODY AND TAKES DAILY ELIMINATION OF YEAST TO GET IT UNDER CONTROL. LIKE THE LAST FORUM MEMBER SUGGESTED URINE TEST IS THE ONLY ANSWER. BUY A MASON JAR AND PEE IN IT AND WAIT TWO HOURS AND CHECK THE BOTTOM YOU WILL SEE ALL THESE CLOUDS OF YEAST ON THE BOTTOM. THAT’S. HOW YOU KNOW IF YOU HAVE A CANDIDA YEAST PROBLEM. IT IS DOCUMENTED THAT 500 MILLION NORTH AMERICANS HAVE CANDIDA YEAST PROBLEMS. WHAT DO THEY ALL HAVE IN COMMON THEY ALL EAT YEAST BREAD EVERY DAY AND DONUTS AND SUBMARINE SANDWICHES FULL OF YEAST. CANDIDA YEAST IS A YEAST PROBLEM WHAT ELSE DO YOU NEED TO KNOW-CUT OUT YEAST OR SUFFER THE CONSEQUENCES.
12,Now Gone,8,"To Janek, Marjan and Rall. I am working on curing my candidias and have made progress. I have been doing some of the things Janek mentioned but I am going to definitely add the baking soda. The reason is that there is a German or Austrian doctor who uses baking soda to cure cancers and he said some cancers are an advanced form of candidias, so I think there definitely is some proven science out there. My husband told me about it, but I can’t remember the doctor’s name but I’m sure you could Google it. I’ve been on a candida diet for three weeks and before I had developed rosecea on my nose and face. It has completely cleared and I now believe it is related to the yeast. I am eating a Whole Foods diet (WholeFoods.com), low starch veggies and lean meats. I got really weak from eating the non-starchy veggies. There is a web-site out there called freetheanimal.com and it talked about adding resistant starch to your diet as a prebiotic to feed the good yeasts to help implant the probiotics. This research came from scientists who found that in mother’s breast milk there is a large portion of non-digestible starch that babies cannot even digest and it passes through but it feeds the gut bacteria to increase their immunity. I added a 3 bean salad which I eat cold and it has helped my energy a lot and well as helping me feel full. As the web-site tells you you will get some gas until the good yeasts are built up and you are used to the beans. There is a lot of conflicting information about what to do and what to eat when you have candida. I am keeping good notes and keeping in touch with what works for me and since everyone’s body is a little different I think you have to do that. At some point you should be able to add more seed grains (gluten free) amaranth, quinoa, millet, buckwheat and non=gluten oats. Depends on how quickly you build up the good yeast. Once you have been sensitive to candida you will always have to watch what you eat but after you heal you may be able to deviate a little once in a while but always get back to the healthy diet."
